0  reactant&112&1
1  reactant&112&2
2  reactant&112&3
3  reactant&112&4
4  reactant&112&5
5  reactant&112&6
6  reactant&112&7
7  reactant&112&8
8  reactant&112&9
9  reactant&112&10
10  reactant&112&11
11  reactant&112&12
12  reactant&112&13
13  reactant&112&14
14  reactant&112&15
15  reactant&112&16
16  reactant&112&17
17  reactant&112&18
18  reactant&112&19
19  reactant&112&20
20  reactant&112&21
21  reactant&112&22
22  reactant&112&23
23  reactant&112&24
24  reactant&112&25
25  reactant&112&26
26  reactant&112&27
27  reactant&112&28
28  reactant&112&29
29  reactant&112&30
30  reactant&112&31
31  reactant&112&32
32  reactant&112&33
33  reactant&112&34
34  reactant&112&35
35  reactant&112&36
36  reactant&112&37
37  reactant&112&38
38  reactant&112&39
39  reactant&112&40
40  reactant&112&41
41  reactant&112&42
42  reactant&112&43
43  reactant&112&44
44  reactant&112&45
45  reactant&112&46
46  reactant&112&47
47  reactant&112&48
48  reactant&112&49
49  reactant&112&50
50  reactant&326&1
51  reactant&326&2
52  reactant&326&3
53  reactant&326&4
54  reactant&326&5
55  reactant&326&6
56  reactant&326&7
57  reactant&326&8
58  reactant&326&9
59  reactant&326&10
60  reactant&326&11
61  reactant&326&12
62  reactant&326&13
63  reactant&326&14
64  reactant&326&15
65  reactant&326&16
66  reactant&326&17
67  reactant&326&18
68  reactant&326&19
69  reactant&326&20
70  reactant&326&21
71  reactant&326&22
72  reactant&326&23
73  reactant&326&24
74  reactant&326&25
75  reactant&326&26
76  reactant&326&27
77  reactant&326&28
78  reactant&326&29
79  reactant&326&30
80  reactant&326&31
81  reactant&326&32
82  reactant&326&33
83  reactant&326&34
84  reactant&326&35
85  reactant&326&36
86  reactant&326&37
87  reactant&326&38
88  reactant&326&39
89  reactant&326&40
90  reactant&326&41
91  reactant&326&42
92  reactant&326&43
93  reactant&326&44
94  reactant&326&45
95  reactant&326&46
96  reactant&326&47
97  reactant&326&48
98  reactant&326&49
99  reactant&326&50
100  reactant&634&1
101  reactant&634&2
102  reactant&634&3
103  reactant&634&4
104  reactant&634&5
105  reactant&634&6
106  reactant&634&7
107  reactant&634&8
108  reactant&634&9
109  reactant&634&10
110  reactant&634&11
111  reactant&634&12
112  reactant&634&13
113  reactant&634&14
114  reactant&634&15
115  reactant&634&16
116  reactant&634&17
117  reactant&634&18
118  reactant&634&19
119  reactant&634&20
120  reactant&634&21
121  reactant&634&22
122  reactant&634&23
123  reactant&634&24
124  reactant&634&25
125  reactant&634&26
126  reactant&634&27
127  reactant&634&28
128  reactant&634&29
129  reactant&634&30
130  reactant&634&31
131  reactant&634&32
132  reactant&634&33
133  reactant&634&34
134  reactant&634&35
135  reactant&634&36
136  reactant&634&37
137  reactant&634&38
138  reactant&634&39
139  reactant&634&40
140  reactant&634&41
141  reactant&634&42
142  reactant&634&43
143  reactant&634&44
144  reactant&634&45
145  reactant&634&46
146  reactant&634&47
147  reactant&634&48
148  reactant&634&49
149  reactant&634&50
150  reactant&1570&1
151  reactant&1570&2
152  reactant&1570&3
153  reactant&1570&4
154  reactant&1570&5
155  reactant&1570&6
156  reactant&1570&7
